,Autofluorescence,Colloidal,Frequent,Filters
0,0.7254901960784313,0.5392156862745098,0.47058823529411764,0.4019607843137255
1,0.6893203883495146,0.5533980582524272,0.4563106796116505,0.4174757281553398
2,0.7184466019417476,0.5728155339805825,0.44660194174757284,0.39805825242718446
3,0.69,0.5,0.49,0.43
4,0.6990291262135923,0.5048543689320388,0.4854368932038835,0.4368932038834951
5,0.7156862745098039,0.5686274509803921,0.4215686274509804,0.4117647058823529
6,0.6732673267326733,0.5544554455445545,0.43564356435643564,0.39603960396039606
7,0.6831683168316832,0.5247524752475248,0.46534653465346537,0.42574257425742573
8,0.7326732673267327,0.5544554455445545,0.45544554455445546,0.39603960396039606
9,0.7087378640776699,0.5728155339805825,0.4563106796116505,0.3883495145631068
10,0.5,0.419811320754717,0.05188679245283019,0.2358490566037736
11,0.4857142857142857,0.38095238095238093,0.07142857142857142,0.20476190476190476
12,0.41706161137440756,0.3696682464454976,0.05687203791469194,0.2037914691943128
13,0.4953271028037383,0.4252336448598131,0.06542056074766354,0.2570093457943925
14,0.4700460829493088,0.41013824884792627,0.055299539170506916,0.2304147465437788
15,0.49019607843137253,0.38235294117647056,0.049019607843137254,0.21568627450980393
16,0.5,0.40186915887850466,0.04205607476635514,0.22429906542056074
17,0.5258215962441315,0.39436619718309857,0.056338028169014086,0.20657276995305165
18,0.4861111111111111,0.4212962962962963,0.06018518518518518,0.24537037037037038
19,0.4460093896713615,0.38967136150234744,0.046948356807511735,0.2112676056338028
20,0.6585365853658537,0.524390243902439,0.06504065040650407,0.3008130081300813
21,0.6653061224489796,0.5428571428571428,0.07346938775510205,0.3224489795918367
22,0.6408163265306123,0.5061224489795918,0.061224489795918366,0.3306122448979592
23,0.6285714285714286,0.5346938775510204,0.0653061224489796,0.3142857142857143
24,0.6115702479338843,0.5082644628099173,0.0743801652892562,0.3181818181818182
25,0.6557377049180327,0.5204918032786885,0.05737704918032787,0.3360655737704918
26,0.6172839506172839,0.5185185185185185,0.07407407407407407,0.3045267489711934
27,0.636734693877551,0.5469387755102041,0.06938775510204082,0.3306122448979592
28,0.6707818930041153,0.551440329218107,0.07818930041152264,0.29218106995884774
29,0.6514522821576764,0.5394190871369294,0.07883817427385892,0.3070539419087137
30,0.7470588235294118,0.5176470588235295,0.19411764705882353,0.40588235294117647
31,0.7386363636363636,0.5170454545454546,0.21022727272727273,0.3806818181818182
32,0.735632183908046,0.5344827586206896,0.20114942528735633,0.40229885057471265
33,0.7470588235294118,0.49411764705882355,0.21764705882352942,0.4117647058823529
34,0.7333333333333333,0.5055555555555555,0.20555555555555555,0.39444444444444443
35,0.7701149425287356,0.5229885057471264,0.20689655172413793,0.40804597701149425
36,0.7206703910614525,0.5083798882681564,0.2122905027932961,0.3743016759776536
37,0.7288135593220338,0.5141242937853108,0.21468926553672316,0.384180790960452
38,0.7134831460674157,0.5112359550561798,0.21348314606741572,0.38202247191011235
39,0.7329545454545454,0.5056818181818182,0.2159090909090909,0.3977272727272727
40,0.7083333333333334,0.6666666666666666,0.25,0.3333333333333333
41,0.7083333333333334,0.6666666666666666,0.20833333333333334,0.3333333333333333
42,0.7083333333333334,0.625,0.2916666666666667,0.3333333333333333
43,0.7083333333333334,0.5833333333333334,0.20833333333333334,0.375
44,0.75,0.5833333333333334,0.25,0.3333333333333333
45,0.6666666666666666,0.625,0.2916666666666667,0.375
46,0.7083333333333334,0.5833333333333334,0.2916666666666667,0.375
47,0.6666666666666666,0.5833333333333334,0.25,0.4166666666666667
48,0.75,0.625,0.25,0.3333333333333333
49,0.7083333333333334,0.5,0.2916666666666667,0.4166666666666667
50,0.5,0.4365079365079365,0.047619047619047616,0.30952380952380953
51,0.5634920634920635,0.3968253968253968,0.047619047619047616,0.2857142857142857
52,0.49606299212598426,0.36220472440944884,0.05511811023622047,0.3700787401574803
53,0.5396825396825397,0.4444444444444444,0.047619047619047616,0.3492063492063492
54,0.5118110236220472,0.4251968503937008,0.05511811023622047,0.4015748031496063
55,0.4603174603174603,0.48412698412698413,0.047619047619047616,0.31746031746031744
56,0.47619047619047616,0.4126984126984127,0.03968253968253968,0.30952380952380953
57,0.49206349206349204,0.4603174603174603,0.06349206349206349,0.3492063492063492
58,0.47619047619047616,0.40476190476190477,0.05555555555555555,0.373015873015873
59,0.5158730158730159,0.4603174603174603,0.05555555555555555,0.3492063492063492
60,0.610062893081761,0.4779874213836478,0.050314465408805034,0.25157232704402516
61,0.6012269938650306,0.48466257668711654,0.049079754601226995,0.24539877300613497
62,0.6037735849056604,0.4528301886792453,0.06289308176100629,0.24528301886792453
63,0.6234567901234568,0.5185185185185185,0.043209876543209874,0.2777777777777778
64,0.639751552795031,0.484472049689441,0.049689440993788817,0.2795031055900621
65,0.6583850931677019,0.5031055900621118,0.055900621118012424,0.2919254658385093
66,0.6380368098159509,0.50920245398773,0.05521472392638037,0.26993865030674846
67,0.6121212121212121,0.4666666666666667,0.030303030303030304,0.2727272727272727
68,0.6335403726708074,0.4906832298136646,0.06832298136645963,0.30434782608695654
69,0.5974842767295597,0.4528301886792453,0.03773584905660377,0.27672955974842767
