,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
0,0.21621621621621623,0.7837837837837838,6.132392883300781,0.5,1.0,0.10810810810810811,0.7837837837837838,0.5726255356713771,0.9904543290770952,100.0,70.83333333333333
1,0.21621621621621623,0.7837837837837838,6.058886289596558,0.5,0.9583333333333334,0.10810810810810811,0.7511261261261262,0.5720565698277204,0.9650042597528432,100.0,66.66666666666667
2,0.21621621621621623,0.7837837837837838,6.095386981964111,0.5416666666666666,1.0,0.11711711711711711,0.7837837837837838,0.5933868440760846,0.9858068064863781,100.0,66.66666666666667
3,0.21621621621621623,0.7837837837837838,6.040876388549805,0.4583333333333333,1.0,0.0990990990990991,0.7837837837837838,0.5703780805153976,0.9848890897837824,100.0,66.66666666666667
4,0.21621621621621623,0.7837837837837838,6.058584690093994,0.4583333333333333,1.0,0.0990990990990991,0.7837837837837838,0.5862774521797876,0.989484550104054,100.0,70.83333333333333
5,0.21621621621621623,0.7837837837837838,6.127370119094849,0.5416666666666666,0.9583333333333334,0.11711711711711711,0.7511261261261262,0.6223017440509977,0.9689162516408114,100.0,70.83333333333333
6,0.21621621621621623,0.7837837837837838,6.0515570640563965,0.5416666666666666,1.0,0.11711711711711711,0.7837837837837838,0.5963762813119786,0.9778128953951506,100.0,66.66666666666667
7,0.21621621621621623,0.7837837837837838,6.030313730239868,0.5,1.0,0.10810810810810811,0.7837837837837838,0.6105461820713272,0.9887123739035677,100.0,70.83333333333333
8,0.21621621621621623,0.7837837837837838,6.018117189407349,0.4166666666666667,1.0,0.0900900900900901,0.7837837837837838,0.538567282588113,0.9819818061760939,100.0,70.83333333333333
9,0.21621621621621623,0.7837837837837838,6.1398327350616455,0.4583333333333333,1.0,0.0990990990990991,0.7837837837837838,0.5686012650156943,0.9848800877372632,100.0,72.0
