,Label,MVS-A,Readout
168,non-hit,73.28941654271857,49.0
169,non-hit,89.61393855399777,39.0
170,non-hit,73.26008200862465,32.0
171,non-hit,94.62455596203418,36.0
172,non-hit,97.89339003553678,72.0
173,non-hit,86.08168400003566,57.0
174,non-hit,91.06518518964027,60.0
175,non-hit,99.88743050195507,26.0
176,non-hit,82.86195055765758,30.0
177,non-hit,77.82960921868975,50.0
178,non-hit,90.4434592534407,32.0
179,non-hit,83.06043530461145,44.0
180,non-hit,75.70106403033954,46.0
181,non-hit,96.7007167463476,29.0
182,non-hit,95.31647537056853,34.0
183,non-hit,97.37483556105398,32.0
184,non-hit,90.04150632523229,28.0
185,non-hit,76.96963224556241,27.0
186,non-hit,74.40306610687004,43.0
187,non-hit,69.79168206315342,46.0
188,non-hit,88.55705168137673,27.0
189,non-hit,73.42822895239536,38.0
190,non-hit,91.39666847568876,64.0
191,non-hit,66.07032910620724,33.0
192,non-hit,66.21136078316941,36.0
193,non-hit,99.08450099631284,28.0
194,non-hit,68.23237502665073,80.0
195,non-hit,59.17449579810279,37.0
196,non-hit,75.74175445917743,66.0
197,non-hit,74.90683265305458,48.0
198,non-hit,94.03217935202085,35.0
199,non-hit,94.68877831891297,60.0
200,non-hit,94.12326030415963,32.0
201,non-hit,72.33053373655696,25.0
202,non-hit,94.09321491541338,57.0
203,non-hit,66.59353321939706,37.0
204,non-hit,58.821697262952064,38.0
205,non-hit,78.3420290347453,50.0
206,non-hit,75.05349053696636,57.0
207,non-hit,84.78057794966595,45.0
208,non-hit,75.79556858893386,39.0
209,non-hit,55.278581821503344,33.0
210,non-hit,79.77445460600325,40.0
211,non-hit,70.5234446018716,26.0
212,non-hit,53.02854464154353,50.0
213,non-hit,73.84650583791401,54.0
214,non-hit,88.52345515831036,28.0
215,non-hit,72.98925884777093,43.0
216,non-hit,85.36114747799883,25.0
217,non-hit,90.79257280297034,30.0
218,non-hit,75.996957645433,31.0
219,non-hit,68.32714541520892,67.0
220,non-hit,79.33931851138576,34.0
221,non-hit,86.93236731235845,57.0
222,non-hit,78.08579285658362,49.0
223,non-hit,71.36614451715477,60.0
224,non-hit,72.16140493137897,26.0
225,non-hit,72.73443152039518,27.0
226,non-hit,46.24698061159967,41.0
227,non-hit,90.36773131804034,27.0
228,non-hit,95.27776255585897,36.0
229,non-hit,84.01270493125425,32.0
230,non-hit,85.68295666184102,39.0
231,non-hit,96.96782354797746,34.0
232,non-hit,73.14769223652871,36.0
233,non-hit,99.64317882136666,31.0
