,SMILES,MVS-A,Score,MVS-A percentile,Score percentile,Confirmed,Filter alerts
2575,Oc1c(Br)cc(Br)cc1C=Nc1ccc2c(c1)OCCO2,65.47296400631936,10.0,98.78095238095239,1.2190476190476192,0,1.0
2576,Oc1c(Br)cc(Br)cc1C=Nc1ccc2c(c1)OCO2,66.10692977371454,22.0,98.74285714285715,1.2571428571428571,0,1.0
2504,O=[N+]([O-])c1cc(Br)cc(C=Nc2ccc3c(c2)OCO3)c1O,67.19906000038554,37.0,98.70476190476191,1.2952380952380953,0,1.0
2099,O=C(C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1)N1CCN(c2ccccc2F)CC1,67.47820503616435,44.0,98.66666666666667,1.3333333333333333,0,0.0
559,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,69.04388500225937,8.0,98.62857142857143,1.3714285714285714,0,1.0
121,CC(=O)c1ccc(N2CCN(C(=O)C3CCCN(c4ncnc5c4nc4n5CCCCC4)C3)CC2)cc1,69.06287657422433,16.0,98.5904761904762,1.4095238095238096,0,1.0
1596,Cc1ccc(C(=O)NC2CCCC(C)C2C)cc1S(=O)(=O)N1CCCCC1,69.07235547487288,47.0,98.55238095238096,1.4476190476190476,0,0.0
2040,NC(=O)CCCn1c(C(=O)c2cc(Cl)c(N)c(Cl)c2)c2ccc(C(F)(F)F)cc2[n+]1[O-],69.44567315955027,53.0,98.51428571428572,1.4857142857142858,0,1.0
808,CCS(=O)(=O)C1=NSC2=NC(=O)/C(=C\c3ccc(OS(=O)(=O)c4ccccc4)cc3)C(=N)N21,69.51108207115877,32.0,98.47619047619048,1.5238095238095237,0,5.0
2098,O=C(C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1)N1CCN(c2ccccc2)CC1,69.56715490296807,22.0,98.43809523809524,1.561904761904762,0,0.0
2058,NCCCn1c(C(=O)c2cc(Cl)c(N)c(Cl)c2)c2ccc(C(F)(F)F)cc2[n+]1[O-],69.88180390002634,38.0,98.4,1.6,0,1.0
1630,Cc1ccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C(C)C)s3)n2)cc1,70.57237535287564,7.0,98.36190476190477,1.638095238095238,0,1.0
904,CCn1c(SCc2nc(-c3ccccc3)no2)nnc1-c1cccs1,70.81482926782749,12.0,98.32380952380953,1.6761904761904762,0,0.0
231,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,70.8536960264078,20.0,98.28571428571429,1.7142857142857142,0,1.0
558,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1,71.37131009721217,31.0,98.24761904761905,1.7523809523809524,0,1.0
913,CCn1cc(C(=O)NCCCN2CCC(C)CC2)c(=O)c2cc(S(=O)(=O)N(C)C3CCCCC3)ccc21,71.64980126703783,23.0,98.20952380952382,1.7904761904761906,0,2.0
1390,CS(=O)(=O)C1=NSC2=NC(=O)/C(=C\c3ccc(OS(=O)(=O)c4ccccc4)cc3)C(=N)N21,72.32224967257858,24.0,98.17142857142858,1.8285714285714285,0,4.0
876,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,73.12903789143117,19.0,98.13333333333334,1.8666666666666667,0,1.0
2237,O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccc(F)cc1)C(=O)c1ccc2c(c1)OCCO2,73.53687264634698,33.0,98.0952380952381,1.9047619047619047,0,2.0
1400,CSCC(C)N1CCC(Oc2cccc(C(=O)NCc3ccccn3)c2)CC1,73.75852837566782,86.0,98.05714285714286,1.9428571428571428,0,0.0
232,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,73.8009282481217,35.0,98.01904761904763,1.980952380952381,0,1.0
1710,Cc1ccc(S(=O)(=O)Oc2ccc(/C=C3/C(=N)N4C(=NC3=O)SN=C4S(C)(=O)=O)cc2)cc1,73.97511666845936,19.0,97.98095238095237,2.019047619047619,0,5.0
875,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1,74.08915353392896,39.0,97.94285714285715,2.057142857142857,0,1.0
599,CCN(CC)CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,74.10232048634563,15.0,97.9047619047619,2.0952380952380953,0,2.0
1521,Cc1cc(Cl)ccc1OC(C)C(=O)Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,74.14559390307328,59.0,97.86666666666666,2.1333333333333333,0,0.0
324,CC1CCC(NC(=O)c2cccc(S(=O)(=O)N3CCN(C)CC3)c2)CC1,74.76488863046582,69.0,97.82857142857142,2.1714285714285713,0,0.0
2323,O=C(Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1)c1cc(F)c(F)cc1Cl,74.7705051125067,24.0,97.79047619047618,2.2095238095238097,0,0.0
1631,Cc1ccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C)s3)n2)cc1,74.78867405426345,48.0,97.75238095238095,2.2476190476190476,0,1.0
521,CCCN1CCN(CCCNC(=S)Nc2ccc3nc(N4CCN(CC)CC4)cc(C)c3c2)CC1,75.0050757051046,25.0,97.71428571428571,2.2857142857142856,0,2.0
572,CCCn1c2ccccc2c2cnn(CC(=O)NCCCN3CCN(c4ccccc4)CC3)c(=O)c21,75.01576262394569,51.0,97.67619047619047,2.323809523809524,0,1.0
1227,COc1ccc(CN(C(=O)c2ccc3c(c2)OCCO3)C(C(=O)NC2CCCCC2)c2ccc3ncccc3c2)cc1,75.09027242058424,46.0,97.63809523809523,2.361904761904762,0,2.0
2238,O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccc2c(c1)OCO2)C(=O)c1ccc2c(c1)OCCO2,75.55474263404471,74.0,97.6,2.4,0,2.0
2322,O=C(Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1)c1ccc(Cl)cc1Cl,75.58806173147202,65.0,97.56190476190476,2.4380952380952383,0,0.0
600,CCN(CC)CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2c1=O,75.73734759068563,65.0,97.52380952380952,2.4761904761904763,0,2.0
414,CCC1CCCCN1CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,76.11121383735465,39.0,97.48571428571428,2.5142857142857142,0,2.0
344,CC1CCCCC1NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,76.28914724943424,62.0,97.44761904761904,2.552380952380952,0,0.0
1830,Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(Cl)cc3[N+](=O)[O-])cc2)n1,76.30653243740956,11.0,97.4095238095238,2.5904761904761906,0,0.0
1714,Cc1ccc(S(=O)(=O)Oc2ccccc2/C=C2\SC(=O)NC2=O)cc1,76.37265066352303,14.0,97.35238095238095,2.6476190476190475,0,2.0
1713,Cc1ccc(S(=O)(=O)Oc2ccccc2/C=C2/SC(=O)NC2=O)cc1,76.37265066352303,17.0,97.35238095238095,2.6476190476190475,0,2.0
353,CC1CCCN(CCCNC(=O)c2ccc3c(c2)N(Cc2ccccc2F)C(=O)c2ccccc2S3(=O)=O)C1,76.38423764053968,29.0,97.29523809523809,2.704761904761905,0,1.0
914,CCn1cc(C(=O)NCCCN2CCCC(C)C2)c(=O)c2cc(S(=O)(=O)N(C)C3CCCCC3)ccc21,76.41434525553183,33.0,97.25714285714285,2.742857142857143,0,2.0
2190,O=C(C[n+]1cccc(Br)c1)c1ccc(-c2ccccc2)cc1,76.42327635568111,80.0,97.21904761904761,2.780952380952381,0,1.0
1534,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)c3ccc(Cl)cc3Cl)cc2)no1,76.44453825262237,48.0,97.18095238095238,2.8190476190476192,0,0.0
463,CCCCN(CC)CCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2c1=O,76.55009421146818,69.0,97.14285714285714,2.857142857142857,0,2.0
