,SMILES,MVS-A,Score,MVS-A percentile,Score percentile,Confirmed
265274,O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccc(F)cc1)C(=O)c1cccs1,42.898275393710506,0.0,99.9871552925135,0,0
55947,CCCn1c(SCc2nc(-c3cccs3)no2)nnc1-c1ccncc1,42.786696295749046,0.0,99.9868259410395,0,0
36206,CC1CCCC(NC(=O)c2cccc(S(=O)(=O)N3CCN(c4ccccc4)CC3)c2)C1C,42.52544058925304,0.0,99.98649658956548,0,0
215584,Cc1ccccc1Cn1c2ccccc2c2cnn(CC(=O)NCCCN3CCN(C)CC3)c(=O)c21,42.45449453361213,0.0,99.98616723809148,0,0
67387,CCOC(=O)C1CCN(C(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)CC1,41.835169196214366,0.0,99.98583788661746,0,0
190876,Cc1ccc(C(=O)C[n+]2cc(Br)cc(Br)c2)cc1[N+](=O)[O-],41.44508745445352,0.0,99.98550853514344,0,0
52057,CCCN1CCN(C(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)CC1,41.34831351969224,0.0,99.98517918366944,0,0
259961,O=C(C[n+]1cc(Br)cc(Br)c1)c1ccc(-c2ccccc2)cc1,41.294624779201904,0.0,99.98484983219542,0,0
205771,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NCC(c3ccco3)N3CCCC3)c2)cc1F,40.27107145542149,0.0,99.9845204807214,0,0
36200,CC1CCCC(NC(=O)c2ccc3c(SCC(=O)O)c4c(nc3c2)CCC4)C1C,40.226232296782754,0.0,99.9841911292474,0,0
145331,COc1ccc(N2CCN(C(=O)C3CCCN(c4ncnc5c4nc4n5CCCCC4)C3)CC2)cc1,40.160378977136304,0.0,99.98386177777338,0,0
294131,O=[N+]([O-])c1cc(Cl)cc(/C=N/n2cnnc2)c1O,39.94071913374706,0.0,99.98353242629938,0,0
259962,O=C(C[n+]1cc(Br)cc(Br)c1)c1ccc(Cl)cc1,39.81142057039171,0.0,99.98320307482535,0,0
120565,COc1cc(/C=C2/C(=N)N3C(=NC2=O)SN=C3S(C)(=O)=O)ccc1OS(=O)(=O)c1ccc(C)cc1,39.78649128669174,0.0,99.98287372335136,0,0
96028,CN(/N=C/c1cc(Cl)cc(Cl)c1O)c1c(Cl)cccc1[N+](=O)[O-],39.37042628160806,0.0,99.98254437187734,0,0
133886,COc1ccc(C(=O)NC2CC2)cc1OC1CCN(C(C)CSC)CC1,38.846569868304,0.0,99.98221502040332,0,0
53368,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,38.70849253630614,0.0,99.98188566892932,0,0
294079,O=[N+]([O-])c1cc(Br)cc(/C=N/n2cnnc2)c1O,38.68545571427814,0.0,99.9815563174553,0,0
117762,COCCNC(=O)c1cccc(OC2CCN(Cc3ccc(C(C)C)cc3)CC2)c1,38.612688802639205,0.0,99.98122696598128,0,0
