,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
0,0.21621621621621623,0.7837837837837838,0.4693114757537842,0.3157894736842105,0.782608695652174,0.06827880512091039,0.6133960047003525,0.31686867526694357,0.776593313267907,83.33333333333333,83.33333333333333
1,0.21621621621621623,0.7837837837837838,0.45344996452331543,0.2222222222222222,0.875,0.04804804804804805,0.6858108108108107,0.2412928374518107,0.9040878826444161,75.0,83.33333333333333
2,0.21621621621621623,0.7837837837837838,0.453643798828125,0.16666666666666666,0.75,0.036036036036036036,0.5878378378378378,0.14365298279404265,0.787461463625464,75.0,87.5
3,0.21621621621621623,0.7837837837837838,0.4529900550842285,0.29411764705882354,0.7916666666666666,0.06359300476947537,0.6204954954954954,0.22001110988589187,0.8180252239271418,79.16666666666667,79.16666666666667
4,0.21621621621621623,0.7837837837837838,0.45519185066223145,0.23529411764705882,0.9565217391304348,0.05087440381558029,0.7497062279670975,0.1984538799470993,0.9409586795744106,70.83333333333333,66.66666666666667
5,0.21621621621621623,0.7837837837837838,0.4455373287200928,0.17647058823529413,0.8333333333333334,0.03815580286168522,0.6531531531531531,0.20900411553058088,0.8352922348488739,79.16666666666667,79.16666666666667
6,0.21621621621621623,0.7837837837837838,0.45212697982788086,0.23529411764705882,0.8333333333333334,0.05087440381558029,0.6531531531531531,0.19147741830472717,0.8163681229480595,83.33333333333333,79.16666666666667
7,0.21621621621621623,0.7837837837837838,0.44696784019470215,0.3333333333333333,0.8260869565217391,0.07207207207207207,0.6474735605170387,0.2528661406707735,0.845603090944048,79.16666666666667,83.33333333333333
8,0.21621621621621623,0.7837837837837838,0.449249267578125,0.16666666666666666,0.8260869565217391,0.036036036036036036,0.6474735605170387,0.18396439259871306,0.8624571464495955,75.0,83.33333333333333
9,0.21621621621621623,0.7837837837837838,0.44617319107055664,0.16666666666666666,0.6956521739130435,0.036036036036036036,0.54524089306698,0.17255794064418373,0.7350283375210712,75.0,87.5
