,fp rate,tp rate,time,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc,fp scaffold,tp scaffold
0,0.21364653243847875,0.7863534675615212,0.3716919422149658,0.25,0.7951807228915663,0.05341163310961969,0.6252931187838603,0.2658472364853024,0.7932901752314861,82.97872340425532,84.86997635933807
1,0.21364653243847875,0.7863534675615212,0.37470459938049316,0.22535211267605634,0.7666666666666667,0.04814569745092479,0.6028709917971663,0.17994668965258465,0.7663553342231563,85.57919621749409,84.16075650118204
2,0.21364653243847875,0.7863534675615212,0.3727147579193115,0.24705882352941178,0.7894736842105263,0.05278326095538887,0.6208053691275168,0.2205800625088679,0.7757756281805998,83.68794326241135,78.25059101654847
3,0.21364653243847875,0.7863534675615212,0.37555694580078125,0.22413793103448276,0.7228915662650602,0.04788629175345214,0.5684482898035094,0.23456304821036228,0.7028964566197234,89.36170212765957,80.1418439716312
4,0.21364653243847875,0.7863534675615212,0.38001489639282227,0.25,0.8043478260869565,0.05341163310961969,0.6325017021690497,0.2573126979684949,0.7827029804122186,87.94326241134752,82.50591016548464
5,0.21364653243847875,0.7863534675615212,0.37523579597473145,0.275,0.7613636363636364,0.05875279642058166,0.5987009355297945,0.26525078601453334,0.7692095771457952,82.74231678486997,81.56028368794327
6,0.21364653243847875,0.7863534675615212,0.37845277786254883,0.2702702702702703,0.8208955223880597,0.05774230606445372,0.6455140405355771,0.24222533836363497,0.7969671527208078,86.7612293144208,78.72340425531915
7,0.21364653243847875,0.7863534675615212,0.37609028816223145,0.18571428571428572,0.7790697674418605,0.03967721316714606,0.6126242131002549,0.1815055152772364,0.7678360847557677,80.61465721040189,83.21513002364067
8,0.21364653243847875,0.7863534675615212,0.37471938133239746,0.273972602739726,0.7534246575342466,0.058533296558487324,0.5924580919984064,0.2635458684460703,0.7289036956000556,88.65248226950355,84.16075650118204
9,0.21364653243847875,0.7863534675615212,0.3750030994415283,0.18181818181818182,0.7916666666666666,0.03884482407972341,0.6225298284862043,0.21234432893937422,0.7703888563617707,86.52482269503547,80.85106382978724
