,fp precision,tp precision,fp ef10,tp ef10,fp bedroc,tp bedroc
0,1.616027043139794,1.8001165425517847,0.3847501707252049,0.42119930188906624,0.7004070981107559,0.7689774990340519
1,1.6182232458839618,1.831224814207451,0.38375871159306874,0.42012731183843083,0.7036740617115589,0.7712972031910333
2,1.6171649696543866,1.8252220517600153,0.3828373007837473,0.42294383114621376,0.7000945478118803,0.769564415451596
3,1.6220273181437663,1.8113989495959102,0.3850846383443381,0.42202735726773666,0.7039323982702482,0.7764929734522703
4,1.6061482293333391,1.8220949879768753,0.3827366447094311,0.42446091697525307,0.7036548997218245,0.7713818837190188
5,1.630049098755275,1.8106450216940342,0.38246883492110134,0.41994623073405196,0.7039335979923115,0.7713596073003244
6,1.6248793524767442,1.82440891010452,0.3833654612613068,0.42762259211630904,0.7000635916014954,0.7743603608515308
7,1.633691171734948,1.8153947388375349,0.38662519537848383,0.42225219649254037,0.7067227167394704,0.7725034775280362
8,1.5872823407966852,1.8213521500107632,0.3781990690529596,0.42454535905003776,0.6913263889157293,0.7707380047434151
9,1.5905776430317078,1.8132016383739067,0.3808861655333618,0.4233166493919366,0.702796851182622,0.7716915975511083
