,catboost,score,filter,isoforest,vae
fp precision,3.814697265625e-05,0.03570556640625,7.62939453125e-06,2.288818359375e-05,3.814697265625e-05
tp precision,0.00014495849609375,0.0023193359375,1.52587890625e-05,1.52587890625e-05,0.0001068115234375
fp ef10,7.62939453125e-05,0.0398406982421875,7.62939453125e-06,2.288818359375e-05,2.288818359375e-05
tp ef10,0.00025177001953125,0.00019073486328125,1.52587890625e-05,1.52587890625e-05,0.0001068115234375
fp bedroc,0.0005340576171875,0.00041961669921875,5.340576171875e-05,1.52587890625e-05,3.814697265625e-05
tp bedroc,7.62939453125e-06,0.0039520263671875,2.288818359375e-05,1.52587890625e-05,3.814697265625e-05
fp scaffold,0.00021888859728733177,0.04918670654296875,7.62939453125e-06,5.340576171875e-05,0.00019073486328125
tp scaffold,0.9999923706054688,1.0,1.0,1.0,1.0
